STOCK,HOLDER NAME, SHARES 
GLO PM Equity,"I. B. GIMENEZ SECURITIES, INC."," 7,615.00 "
GLO PM Equity,"INVESTORS SECURITIES, INC."," 9,031.00 "
GLO PM Equity,"IMPERIAL, DE GUZMAN, ABALOS & CO., INC."," 15,525.00 "
GLO PM Equity,"INTRA-INVEST SECURITIES, INC."," 9,084.00 "
GLO PM Equity,"ASIAN CAPITAL EQUITIES, INC.", 35.00 
GLO PM Equity,VALUE QUEST SECURITIES CORPORATION," 38,009.00 "
GLO PM Equity,STRATEGIC EQUITIES CORP.," 23,239.00 "
GLO PM Equity,"LARRGO SECURITIES CO., INC."," 2,576.00 "
GLO PM Equity,"LITONJUA SECURITIES, INC.", 473.00 
GLO PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 1,079.00 "
GLO PM Equity,"LUCKY SECURITIES, INC."," 27,035.00 "
GLO PM Equity,"LUYS SECURITIES COMPANY, INC.", 785.00 
GLO PM Equity,MANDARIN SECURITIES CORPORATION," 12,827.00 "
GLO PM Equity,MARINO OLONDRIZ Y CIA, 31.00 
GLO PM Equity,"COL Financial Group, Inc."," 857,574.00 "
GLO PM Equity,"DA MARKET SECURITIES, INC."," 9,463.00 "
GLO PM Equity,MERCANTILE SECURITIES CORP.," 2,261.00 "
GLO PM Equity,"MERIDIAN SECURITIES, INC."," 5,722.00 "
GLO PM Equity,"MDR SECURITIES, INC."," 1,874.00 "
GLO PM Equity,"REGIS PARTNERS, INC."," 154,860.00 "
GLO PM Equity,"MOUNT PEAK SECURITIES, INC.", 8.00 
GLO PM Equity,"NEW WORLD SECURITIES CO., INC.", 650.00 
GLO PM Equity,OPTIMUM SECURITIES CORPORATION," 3,541.00 "
GLO PM Equity,"RCBC SECURITIES, INC."," 45,467.00 "
GLO PM Equity,PAN ASIA SECURITIES CORP.," 9,879.00 "
GLO PM Equity,PAPA SECURITIES CORPORATION," 73,567.00 "
GLO PM Equity,"MAYBANK SECURITIES, INC."," 214,749.00 "
GLO PM Equity,"PLATINUM SECURITIES, INC."," 21,628.00 "
GLO PM Equity,"PNB SECURITIES, INC."," 36,034.00 "
GLO PM Equity,"PREMIUM SECURITIES, INC."," 13,442.00 "
GLO PM Equity,SALISBURY SECURITIES CORPORATION, 118.00 
GLO PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 16,234.00 "
GLO PM Equity,"R & L INVESTMENTS, INC.", 82.00 
GLO PM Equity,ALAKOR SECURITIES CORPORATION," 1,631.00 "
GLO PM Equity,"R. COYIUTO SECURITIES, INC."," 17,683.00 "
GLO PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 57,238.00 "
GLO PM Equity,"R. NUBLA SECURITIES, INC."," 67,064.00 "
GLO PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 13,288.00 "
GLO PM Equity,"R. S. LIM & CO., INC."," 108,286.00 "
GLO PM Equity,"RTG & COMPANY, INC."," 6,439.00 "
GLO PM Equity,"S.J. ROXAS & CO., INC."," 1,924.00 "
GLO PM Equity,"SECURITIES SPECIALISTS, INC."," 14,098.00 "
GLO PM Equity,"FIDELITY SECURITIES, INC.", 216.00 
GLO PM Equity,"SUMMIT SECURITIES, INC."," 20,490.00 "
GLO PM Equity,STANDARD SECURITIES CORPORATION," 7,162.00 "
GLO PM Equity,"SUPREME STOCKBROKERS, INC", 301.00 
GLO PM Equity,"TANSENGCO & CO., INC."," 5,382.00 "
GLO PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 20,603.00 "
GLO PM Equity,"TOWER SECURITIES, INC."," 30,125.00 "
GLO PM Equity,APEX PHILIPPINES EQUITIES CORPORATION, 284.00 
GLO PM Equity,TRENDLINE SECURITIES CORPORATION, 1.00 
GLO PM Equity,"DRAGONFI SECURITIES, INC."," 6,478.00 "
GLO PM Equity,"LANDBANK SECURITIES, INC."," 26,873.00 "
GLO PM Equity,"UOB KAY HIAN SECURITIES (PHILS.), INC."," 5,904.00 "
GLO PM Equity,"E.SECURITIES, INC.", 603.00 
GLO PM Equity,"VENTURE SECURITIES, INC."," 5,803.00 "
GLO PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 497,391.00 "
GLO PM Equity,"WEALTH SECURITIES, INC."," 687,599.00 "
GLO PM Equity,"WESTLINK GLOBAL EQUITIES, INC."," 1,661.00 "
GLO PM Equity,"BERNAD SECURITIES, INC."," 7,244.00 "
GLO PM Equity,"YAO & ZIALCITA, INC."," 82,727.00 "
GLO PM Equity,"YU & COMPANY, INC."," 16,798.00 "
GLO PM Equity,BDO SECURITIES CORPORATION," 712,019.00 "
GLO PM Equity,"EAGLE EQUITIES, INC."," 3,231.00 "
GLO PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 6,566.00 "
GLO PM Equity,"SOLAR SECURITIES, INC."," 12,800.00 "
GLO PM Equity,"G.D. TAN & COMPANY, INC."," 9,228.00 "
GLO PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 30,743.00 "
GLO PM Equity,UNICAPITAL SECURITIES INC.," 58,050.00 "
GLO PM Equity,"SunSecurities, Inc."," 28,866.00 "
GLO PM Equity,"ARMSTRONG SECURITIES, INC.", 47.00 
GLO PM Equity,"TIMSON SECURITIES, INC."," 13,793.00 "
GLO PM Equity,STAR ALLIANCE SECURITIES CORP.," 20,127.00 "
GLO PM Equity,VC SECURITIES CORPORATION," 7,332.00 "
GLO PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 41,771.00 "
GLO PM Equity,CITIBANK N.A.," 7,518,785.00 "
GLO PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 1,229,300.00 "
GLO PM Equity,THE HONGKONG & SHANGHAI BANKING CORP. LTD. -OWN ACCOUNT, 3.00 
GLO PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 1,139,532.00 "
GLO PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP," 6,110.00 "
GLO PM Equity,PNB TRUST BANKING GROUP," 123,071.00 "
GLO PM Equity,RCBC TRUST CORPORATION," 51,497.00 "
GLO PM Equity,RCBC TRUST CORPORATION," 48,228.00 "
GLO PM Equity,STERLING BANK OF ASIA TRUST GROUP," 3,635.00 "
GLO PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 454,581.00 "
GLO PM Equity,STANDARD CHARTERED BANK," 7,359,999.00 "
GLO PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 4,040,042.00 "
GLO PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 10,261.00 "
GLO PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 8,912.00 "
GLO PM Equity,MBTC - TRUST BANKING GROUP," 443,175.00 "
GLO PM Equity,SOCIAL SECURITY SYSTEM," 2,054,762.00 "
GLO PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 2,701,164.00 "
GLO PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 2,170.00 "
GLO PM Equity,"COCOPLANS, INC.", 222.00 
GLO PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C, 141.00 
GLO PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 408,851.00 "
GLO PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 9,876.00 "
GLO PM Equity,"UCPB GENERAL INSURANCE CO., INC.", 650.00 
GLO PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 71,685.00 "
GLO PM Equity,EASTWEST BANKING CORPORATION - TRUST DIVISION," 2,400.00 "
GLO PM Equity,SSS PROVIDENT FUND," 49,202.00 "
GLO PM Equity,LAND BANK OF THE PHILIPPINES," 161,060.00 "
GLO PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 5,104.00 "
GLO PM Equity,DEVELOPMENT BANK OF THE PHILIPPINES," 5,525.00 "
GLO PM Equity,"GLOBE TELECOM, INC.", 66.00 
GTCAP PM Equity,UPCC SECURITIES CORP.," 3,632.00 "
GTCAP PM Equity,"A & A SECURITIES, INC."," 558,505.00 "
GTCAP PM Equity,ABACUS SECURITIES CORPORATION," 813,976.00 "
GTCAP PM Equity,PHILSTOCKS FINANCIAL INC," 56,895.00 "
GTCAP PM Equity,A. T. DE CASTRO SECURITIES CORP.," 59,472.00 "
GTCAP PM Equity,ALPHA SECURITIES CORP.," 15,735.00 "
GTCAP PM Equity,"BA SECURITIES, INC."," 2,233.00 "
GTCAP PM Equity,AP SECURITIES INCORPORATED," 130,548.00 "
GTCAP PM Equity,"ANSALDO, GODINEZ & CO., INC."," 27,298.00 "
GTCAP PM Equity,"AB CAPITAL SECURITIES, INC."," 470,836.00 "
GTCAP PM Equity,"SARANGANI SECURITIES, INC."," 20,405.00 "
GTCAP PM Equity,"SB EQUITIES, INC."," 751,223.00 "
GTCAP PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP., 205.00 
GTCAP PM Equity,"ASIASEC EQUITIES, INC."," 11,222.00 "
GTCAP PM Equity,ASTRA SECURITIES CORPORATION," 16,521.00 "
GTCAP PM Equity,CHINA BANK SECURITIES CORPORATION," 119,117.00 "
GTCAP PM Equity,"BELSON SECURITIES, INC."," 56,797.00 "
GTCAP PM Equity,B. H. CHUA SECURITIES CORPORATION," 2,500.00 "
GTCAP PM Equity,JAKA SECURITIES CORP., 178.00 
GTCAP PM Equity,BPI SECURITIES CORPORATION," 741,653.00 "
GTCAP PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 17,193.00 "
GTCAP PM Equity,CENTURY SECURITIES CORPORATION," 33,398.00 "
GTCAP PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 26,860.00 "
GTCAP PM Equity,"LUNA SECURITIES, INC.", 981.00 
GTCAP PM Equity,TRITON SECURITIES CORP.," 64,261.00 "
GTCAP PM Equity,IGC SECURITIES INC.," 11,984.00 "
GTCAP PM Equity,CUALOPING SECURITIES CORPORATION," 6,918.00 "
GTCAP PM Equity,DAVID GO SECURITIES CORP.," 121,116.00 "
GTCAP PM Equity,"DIVERSIFIED SECURITIES, INC."," 5,301.00 "
GTCAP PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 22,031.00 "
GTCAP PM Equity,EAST WEST CAPITAL CORPORATION," 1,218.00 "
GTCAP PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 71,868.00 "
GTCAP PM Equity,"EQUITIWORLD SECURITIES, INC.", 608.00 
GTCAP PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC."," 160,220.00 "
GTCAP PM Equity,"FIRST ORIENT SECURITIES, INC."," 5,683.00 "
GTCAP PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC."," 221,405.00 "
GTCAP PM Equity,"F. YAP SECURITIES, INC."," 12,604.00 "
GTCAP PM Equity,"AURORA SECURITIES, INC."," 21,996.00 "
GTCAP PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC."," 19,567.00 "
GTCAP PM Equity,"JSG SECURITIES, INC."," 5,694.00 "
GTCAP PM Equity,"GOLDSTAR SECURITIES, INC."," 11,356.00 "
GTCAP PM Equity,"GUILD SECURITIES, INC."," 2,866.00 "
GTCAP PM Equity,"HDI SECURITIES, INC."," 157,190.00 "
GTCAP PM Equity,"H. E. BENNETT SECURITIES, INC."," 8,420.00 "
GTCAP PM Equity,"I. B. GIMENEZ SECURITIES, INC.", 350.00 
GTCAP PM Equity,"INVESTORS SECURITIES, INC."," 23,141.00 "
GTCAP PM Equity,"IMPERIAL, DE GUZMAN, ABALOS & CO., INC."," 4,425.00 "
GTCAP PM Equity,"INTRA-INVEST SECURITIES, INC."," 17,250.00 "
GTCAP PM Equity,VALUE QUEST SECURITIES CORPORATION," 273,400.00 "
GTCAP PM Equity,STRATEGIC EQUITIES CORP.," 7,029.00 "
GTCAP PM Equity,"LARRGO SECURITIES CO., INC.", 70.00 
GTCAP PM Equity,"LITONJUA SECURITIES, INC."," 56,258.00 "
GTCAP PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 2,977.00 "
GTCAP PM Equity,"LUCKY SECURITIES, INC."," 26,826.00 "
GTCAP PM Equity,"LUYS SECURITIES COMPANY, INC."," 1,386.00 "
GTCAP PM Equity,MANDARIN SECURITIES CORPORATION," 19,463.00 "
GTCAP PM Equity,"COL Financial Group, Inc."," 2,800,636.00 "
GTCAP PM Equity,"DA MARKET SECURITIES, INC."," 17,713.00 "
GTCAP PM Equity,MERCANTILE SECURITIES CORP.," 7,247.00 "
GTCAP PM Equity,"MERIDIAN SECURITIES, INC."," 15,409.00 "
GTCAP PM Equity,"MDR SECURITIES, INC."," 32,064.00 "
GTCAP PM Equity,"REGIS PARTNERS, INC."," 68,356.00 "
GTCAP PM Equity,"MOUNT PEAK SECURITIES, INC.", 33.00 
GTCAP PM Equity,"NEW WORLD SECURITIES CO., INC.", 150.00 
GTCAP PM Equity,OPTIMUM SECURITIES CORPORATION," 12,748.00 "
GTCAP PM Equity,"RCBC SECURITIES, INC."," 67,477.00 "
GTCAP PM Equity,PAN ASIA SECURITIES CORP.," 79,207.00 "
GTCAP PM Equity,PAPA SECURITIES CORPORATION," 240,826.00 "
GTCAP PM Equity,"MAYBANK SECURITIES, INC."," 391,116.00 "
GTCAP PM Equity,"PLATINUM SECURITIES, INC."," 166,108.00 "
GTCAP PM Equity,"PNB SECURITIES, INC."," 110,454.00 "
GTCAP PM Equity,"PREMIUM SECURITIES, INC."," 3,405.00 "
GTCAP PM Equity,SALISBURY SECURITIES CORPORATION," 5,140.00 "
GTCAP PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 62,994.00 "
GTCAP PM Equity,"R & L INVESTMENTS, INC.", 255.00 
GTCAP PM Equity,ALAKOR SECURITIES CORPORATION," 2,056.00 "
GTCAP PM Equity,"R. COYIUTO SECURITIES, INC."," 17,443.00 "
GTCAP PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 59,035.00 "
GTCAP PM Equity,"R. NUBLA SECURITIES, INC."," 369,663.00 "
GTCAP PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 26,092.00 "
GTCAP PM Equity,"R. S. LIM & CO., INC."," 19,909.00 "
GTCAP PM Equity,"RTG & COMPANY, INC."," 7,015.00 "
GTCAP PM Equity,"S.J. ROXAS & CO., INC."," 42,491.00 "
GTCAP PM Equity,"SECURITIES SPECIALISTS, INC."," 30,912.00 "
GTCAP PM Equity,"FIDELITY SECURITIES, INC."," 1,823.00 "
GTCAP PM Equity,"SUMMIT SECURITIES, INC."," 69,221.00 "
GTCAP PM Equity,STANDARD SECURITIES CORPORATION," 84,570.00 "
GTCAP PM Equity,"SUPREME STOCKBROKERS, INC"," 1,380.00 "
GTCAP PM Equity,"TANSENGCO & CO., INC."," 11,677.00 "
GTCAP PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 9,792.00 "
GTCAP PM Equity,"TOWER SECURITIES, INC."," 51,639.00 "
GTCAP PM Equity,APEX PHILIPPINES EQUITIES CORPORATION," 30,143.00 "
GTCAP PM Equity,"DRAGONFI SECURITIES, INC."," 9,151.00 "
GTCAP PM Equity,"LANDBANK SECURITIES, INC."," 73,690.00 "
GTCAP PM Equity,"VENTURE SECURITIES, INC."," 3,929.00 "
GTCAP PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 1,369,969.00 "
GTCAP PM Equity,"WEALTH SECURITIES, INC."," 374,390.00 "
GTCAP PM Equity,"WESTLINK GLOBAL EQUITIES, INC."," 7,871.00 "
GTCAP PM Equity,"BERNAD SECURITIES, INC."," 47,000.00 "
GTCAP PM Equity,WONG SECURITIES CORPORATION," 1,668.00 "
GTCAP PM Equity,"YAO & ZIALCITA, INC."," 27,319.00 "
GTCAP PM Equity,"YU & COMPANY, INC."," 43,371.00 "
GTCAP PM Equity,BDO SECURITIES CORPORATION," 1,113,140.00 "
GTCAP PM Equity,"EAGLE EQUITIES, INC."," 22,115.00 "
GTCAP PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 1,782.00 "
GTCAP PM Equity,"SOLAR SECURITIES, INC."," 72,440.00 "
GTCAP PM Equity,"G.D. TAN & COMPANY, INC."," 15,550.00 "
GTCAP PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 33,187.00 "
GTCAP PM Equity,UNICAPITAL SECURITIES INC.," 170,185.00 "
GTCAP PM Equity,"SunSecurities, Inc."," 10,948.00 "
GTCAP PM Equity,"COHERCO SECURITIES, INC."," 2,000.00 "
GTCAP PM Equity,"TIMSON SECURITIES, INC.", 670.00 
GTCAP PM Equity,STAR ALLIANCE SECURITIES CORP.," 20,000.00 "
GTCAP PM Equity,VC SECURITIES CORPORATION, 355.00 
GTCAP PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 121,018.00 "
GTCAP PM Equity,CITIBANK N.A.," 16,876,318.00 "
GTCAP PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 3,190,415.00 "
GTCAP PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 1,786,450.00 "
GTCAP PM Equity,PNB TRUST BANKING GROUP," 86,798.00 "
GTCAP PM Equity,RCBC TRUST CORPORATION," 192,880.00 "
GTCAP PM Equity,RCBC TRUST CORPORATION," 69,628.00 "
GTCAP PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 16,308,425.00 "
GTCAP PM Equity,STANDARD CHARTERED BANK," 11,051,971.00 "
GTCAP PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 15,709,222.00 "
GTCAP PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 58,010.00 "
GTCAP PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 148,447.00 "
GTCAP PM Equity,MBTC - TRUST BANKING GROUP," 1,674,474.00 "
GTCAP PM Equity,SOCIAL SECURITY SYSTEM," 2,973,023.00 "
GTCAP PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 7,112,393.00 "
GTCAP PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 371,555.00 "
GTCAP PM Equity,BDO-TIG SECURITIES SERVICES," 32,906.00 "
GTCAP PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C, 196.00 
GTCAP PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 1,892,872.00 "
GTCAP PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 69,358.00 "
GTCAP PM Equity,"UCPB GENERAL INSURANCE CO., INC."," 12,268.00 "
GTCAP PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 415,070.00 "
GTCAP PM Equity,"UNITED FUND, INC."," 87,212.00 "
GTCAP PM Equity,EASTWEST BANKING CORPORATION - TRUST DIVISION," 26,850.00 "
GTCAP PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C, 8.00 
GTCAP PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 15,943.00 "
GTCAP PM Equity,DEVELOPMENT BANK OF THE PHILIPPINES," 3,300.00 "
GTCAP PM Equity,"SEEDBOX SECURITIES, INC."," 8,650.00 "
GTCAP PM Equity,"GT Capital Holdings, Inc.", 433.00 
EMI PM Equity,STANDARD CHARTERED BANK," 2,779,506,542.00 "
EMI PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 691,896,500.00 "
EMI PM Equity,CITIBANK N.A.," 396,923,997.00 "
EMI PM Equity,SOCIAL SECURITY SYSTEM," 332,370,700.00 "
EMI PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 163,675,944.00 "
EMI PM Equity,"AURORA SECURITIES, INC."," 68,069,495.00 "
EMI PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 59,596,884.00 "
EMI PM Equity,"UOB KAY HIAN SECURITIES (PHILS.), INC."," 9,592,000.00 "
EMI PM Equity,MBTC - TRUST BANKING GROUP," 9,200,300.00 "
EMI PM Equity,PNB TRUST BANKING GROUP," 8,506,600.00 "
EMI PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 8,287,080.00 "
EMI PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 7,102,810.00 "
EMI PM Equity,"SB EQUITIES, INC."," 4,650,400.00 "
EMI PM Equity,"WEALTH SECURITIES, INC."," 4,592,701.00 "
EMI PM Equity,"SOLAR SECURITIES, INC."," 3,243,500.00 "
EMI PM Equity,"COL Financial Group, Inc."," 2,995,295.00 "
EMI PM Equity,"YAO & ZIALCITA, INC."," 2,904,000.00 "
EMI PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 2,120,526.00 "
EMI PM Equity,PAPA SECURITIES CORPORATION," 1,740,700.00 "
EMI PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 1,499,600.00 "
EMI PM Equity,BPI SECURITIES CORPORATION," 1,482,793.00 "
EMI PM Equity,RCBC TRUST CORPORATION," 1,250,700.00 "
EMI PM Equity,SSS PROVIDENT FUND," 1,124,000.00 "
EMI PM Equity,BDO SECURITIES CORPORATION," 1,015,181.00 "
EMI PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 1,005,729.00 "
EMI PM Equity,"REGIS PARTNERS, INC."," 1,000,140.00 "
EMI PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 745,900.00 "
EMI PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 688,390.00 "
EMI PM Equity,"R. NUBLA SECURITIES, INC."," 574,700.00 "
EMI PM Equity,"RCBC SECURITIES, INC."," 554,000.00 "
EMI PM Equity,"HDI SECURITIES, INC."," 538,600.00 "
EMI PM Equity,UNICAPITAL SECURITIES INC.," 446,343.00 "
EMI PM Equity,STANDARD SECURITIES CORPORATION," 417,300.00 "
EMI PM Equity,DW CAPITAL INC.," 400,000.00 "
EMI PM Equity,PHILSTOCKS FINANCIAL INC," 398,831.00 "
EMI PM Equity,"EAGLE EQUITIES, INC."," 388,100.00 "
EMI PM Equity,"ANSALDO, GODINEZ & CO., INC."," 355,200.00 "
EMI PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 349,800.00 "
EMI PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 325,500.00 "
EMI PM Equity,ABACUS SECURITIES CORPORATION," 322,187.00 "
EMI PM Equity,"ASIASEC EQUITIES, INC."," 304,000.00 "
EMI PM Equity,CHINA BANK SECURITIES CORPORATION," 294,900.00 "
EMI PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 291,000.00 "
EMI PM Equity,"A & A SECURITIES, INC."," 275,200.00 "
EMI PM Equity,"FIDELITY SECURITIES, INC."," 264,702.00 "
EMI PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 238,900.00 "
EMI PM Equity,"AB CAPITAL SECURITIES, INC."," 232,348.00 "
EMI PM Equity,"F. YAP SECURITIES, INC."," 223,800.00 "
EMI PM Equity,"R. COYIUTO SECURITIES, INC."," 209,750.00 "
EMI PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 191,220.00 "
EMI PM Equity,"R. S. LIM & CO., INC."," 146,000.00 "
EMI PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC."," 140,300.00 "
EMI PM Equity,AP SECURITIES INCORPORATED," 137,800.00 "
EMI PM Equity,"MAYBANK SECURITIES, INC."," 136,600.00 "
EMI PM Equity,"YU & COMPANY, INC."," 135,000.00 "
EMI PM Equity,"TOWER SECURITIES, INC."," 131,200.00 "
EMI PM Equity,OPTIMUM SECURITIES CORPORATION," 105,500.00 "
EMI PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 104,092.00 "
EMI PM Equity,"LUCKY SECURITIES, INC."," 102,000.00 "
EMI PM Equity,"PREMIUM SECURITIES, INC."," 90,000.00 "
EMI PM Equity,"GUILD SECURITIES, INC."," 81,700.00 "
EMI PM Equity,TRITON SECURITIES CORP.," 79,700.00 "
EMI PM Equity,MANDARIN SECURITIES CORPORATION," 69,900.00 "
EMI PM Equity,"G.D. TAN & COMPANY, INC."," 61,100.00 "
EMI PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC."," 60,500.00 "
EMI PM Equity,"INVESTORS SECURITIES, INC,"," 60,500.00 "
EMI PM Equity,"SUMMIT SECURITIES, INC."," 58,400.00 "
EMI PM Equity,"PNB SECURITIES, INC."," 55,800.00 "
EMI PM Equity,"H. E. BENNETT SECURITIES, INC."," 55,000.00 "
EMI PM Equity,"BELSON SECURITIES, INC."," 53,400.00 "
EMI PM Equity,"LANDBANK SECURITIES, INC."," 51,400.00 "
EMI PM Equity,"COHERCO SECURITIES, INC."," 50,000.00 "
EMI PM Equity,"RTG & COMPANY, INC."," 40,500.00 "
EMI PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 37,500.00 "
EMI PM Equity,"SunSecurities, Inc."," 37,100.00 "
EMI PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 33,500.00 "
EMI PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 26,500.00 "
EMI PM Equity,"NEW WORLD SECURITIES CO., INC."," 25,000.00 "
EMI PM Equity,"IMPERIAL, DE GUZMAN, ABALOS & CO., INC."," 21,600.00 "
EMI PM Equity,SALISBURY SECURITIES CORPORATION," 20,447.00 "
EMI PM Equity,"S.J. ROXAS & CO., INC."," 20,000.00 "
EMI PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 20,000.00 "
EMI PM Equity,"I. B. GIMENEZ SECURITIES, INC."," 17,400.00 "
EMI PM Equity,"TIMSON SECURITIES, INC."," 15,300.00 "
EMI PM Equity,"DA MARKET SECURITIES, INC."," 11,000.00 "
EMI PM Equity,ALPHA SECURITIES CORP.," 10,000.00 "
EMI PM Equity,CUALOPING SECURITIES CORPORATION," 10,000.00 "
EMI PM Equity,PAN ASIA SECURITIES CORP.," 10,000.00 "
EMI PM Equity,"R & L INVESTMENTS, INC."," 10,000.00 "
EMI PM Equity,DAVID GO SECURITIES CORP.," 9,800.00 "
EMI PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 9,000.00 "
EMI PM Equity,UPCC SECURITIES CORP.," 8,700.00 "
EMI PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 8,000.00 "
EMI PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 6,000.00 "
EMI PM Equity,"INTRA-INVEST SECURITIES, INC."," 5,000.00 "
EMI PM Equity,WONG SECURITIES CORPORATION," 5,000.00 "
EMI PM Equity,"LUYS SECURITIES COMPANY, INC."," 3,900.00 "
EMI PM Equity,"TANSENGCO & CO., INC."," 3,700.00 "
EMI PM Equity,"DRAGONFI SECURITIES, INC."," 3,360.00 "
EMI PM Equity,"MERIDIAN SECURITIES, INC."," 3,000.00 "
EMI PM Equity,IGC SECURITIES INC.," 2,200.00 "
EMI PM Equity,"FIRST ORIENT SECURITIES, INC."," 2,000.00 "
EMI PM Equity,"MOUNT PEAK SECURITIES, INC."," 1,000.00 "
EMI PM Equity,"I. ACKERMAN & CO., INC.", 200.00 
CNPF PM Equity,HE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT. ," 398,544,235.00 "
CNPF PM Equity,CITIBANK N.A. ," 265,673,340.00 "
